,Title,Reviews,Ratings,Company Type,Salaries,Total Interviews,Total Jobs,Founded Year,Company Age,Websites
0,TCS,93.7k,3.7,IT Services & Consulting,8.9L,10.7k,177,1996,29,tcs.com
1,Accenture,59.3k,3.8,IT Services & Consulting,5.9L,8.4k,8.8k,1989,36,accenture.com
2,Wipro,55.1k,3.7,IT Services & Consulting,4.5L,5.8k,4.1k,1945,80,careers.wipro.com
3,Cognizant,52.4k,3.7,IT Services & Consulting,5.7L,5.7k,204,1994,31,cognizant.com
4,Capgemini,43.9k,3.7,IT Services & Consulting,4.4L,4.9k,2k,1967,58,capgemini.com
5,HDFC Bank,41.3k,3.9,Banking,1.4L,2.3k,529,1994,31,hdfcbank.com
6,Infosys,41.1k,3.6,IT Services & Consulting,4.8L,7.7k,2.4k,1981,44,infosys.com 
7,ICICI Bank,39.5k,4.0,Banking,1.5L,2.5k,22,1994,31,icicibank.com
8,HCLTech,37.8k,3.5,IT Services & Consulting,3.4L,4k,227,1991,34,hcltech.com 
9,Tech Mahindra,36.6k,3.5,IT Services & Consulting,2.7L,3.9k,712,1986,39,techmahindra.com
10,Genpact,33k,3.8,IT Services & Consulting,2.1L,3.2k,461,1997,28,genpact.com
11,Teleperformance,31k,3.9,BPO,91.5k,1.8k,380,1978,47,"teleperformance.comPrimary IndustryBPOOther IndustriesIT Services & Consulting|Software ProductReplay videoView in video summaryTeleperformance is the leading global provider of outsourced Digital Integrated Business Services.Since its 2001 entry into India, Teleperformance leveraged the country’s vast talent pool to offer quality offshore solutions for global brands, and is the designated Center of Excellence (CoE) for Digital CX Services, Back-office, and Transformation Solutions.With an employee strength of 90,000+, India represents the largest multicultural team within Teleperformance, providing world-class services to 210+ clients across different industries.Our High-Tech, High-Touch approach combines the most advanced digital and technology solutions with the human touch to empower world’s leading brands adapt to disruptive digital innovations.Teleperformance in India is recognized among Top 15 Best Workplaces in Asia and is 10 times certified as a Great Place To Work®Mission: We make people's lives simpler, faster, and safer by combining passionate people, the most advanced solutions, and disciplined processes to help companies transform and run better.Vision: We believe that happy employees make happy customers, which, in turn, makes happy clients and happy shareholders. We are therefore inspired to deliver only the best in all that we do.Teleperformance RatingsView allbased on 31k reviewsOverall Rating3.9/5How AmbitionBox ratings work?514.6k45.9k34k21.8k14.8kCategory Ratings3.8Company culture3.8Job security3.8Work-life balance3.8Skill development3.7Salary3.7Work satisfaction3.5PromotionsTeleperformance is rated 3.9 out of 5 stars on AmbitionBox, based on 31k company reviews.This rating reflects an average employee experience, indicating moderate satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at Teleperformancebased on 29.4k reviews3.7Rated by 9.4k WomenRated 3.6 for Skill development and 3.5 for Work-life balance 4.0Rated by 20k MenRated 3.9 for Work-life balance and 3.9 for Company culture Work Policy at Teleperformance based on 5.7k reviews in last 6 monthsWork from office64%Hybrid25%Permanent work from home11%Teleperformance ReviewsView allTop mentions in Teleperformance ReviewsSalary (4k)Senior Management (3.4k)Work Environment (3.1k)Work Culture (1.8k)Job Security (1.7k)+ 5 moreLikes:Dislikes:No job Security Whenever they want they can hire and after that e...Customer Care Executive in MeerutCustomer Success, Service & Operations - Other2.0 • posted on 17 Apr 2025Likes:Salary - ExcellentSkill development - Excellent+2 moreDislikes:No job Security Whenever they want they can hire and after that e...Job security - Bad+2 moreLikes:International exposure, no one fires you directly unless & until you are an outright BQDislikes:Micromanagement, people just not wanting to work, favouritism, ra...Operations Manager in IndoreOperations1.0 • posted on 17 Apr 2025Likes:International exposure, no one fires you directly unless & until you are an outright BQJob security - ExcellentDislikes:Micromanagement, people just not wanting to work, favouritism, ra...Promotions - Poor+2 moreLikes:Company culture and salary on timeDislikes:In which process i was working there is no Job security(VRM) that...Digital Relationship Manager in Navi MumbaiVoice / Blended5.0 • posted on 16 Apr 2025Likes:Company culture and salary on timeSalary - Excellent+4 moreDislikes:In which process i was working there is no Job security(VRM) that...Likes:NothingDislikes:Lot of pressure. No work life balance. Discrimination between emp...Customer Support Executive in MorindaOther1.0 • posted on 16 Apr 2025Likes:NothingDislikes:Lot of pressure. No work life balance. Discrimination between emp...Salary - Bad+6 moreLikes:Dislikes:Bgv process should be done from before.I am from kolkata and I do...Customer Care Executive in IndoreRetail & B2C Sales1.0 • posted on 14 Apr 2025Dislikes:Bgv process should be done from before.I am from kolkata and I do...Skill development - Bad+5 moreLikes:teleperformance  is my first company where i worked for one year and more. very joyful and is very flexible to work...Dislikes:nothin that dislike to teleperformance.Associate in PuneVoice / Blended5.0 • posted on 13 Apr 2025Likes:teleperformance  is my first company where i worked for one year and more. very joyful and is very flexible to work...Skill development - Excellent+5 moreDislikes:nothin that dislike to teleperformance.Likes:After completing 9 months you can apply for promotions.Dislikes:Internal politics if you are going for promotion, favourite candi...Customer Care Executive in MohaliCustomer Success2.0 • posted on 11 Apr 2025Likes:After completing 9 months you can apply for promotions.Dislikes:Internal politics if you are going for promotion, favourite candi...Salary - Poor+5 moreLikes:I don't like anythingDislikes:It's the worst company, it doesn't provide cab facility to male e...Customer Support Executive in MohaliNon Voice1.0 • posted on 10 Apr 2025Likes:I don't like anythingDislikes:It's the worst company, it doesn't provide cab facility to male e...Salary - Bad+6 moreLikes:Supportive Team Environment: I found the team culture to be collaborative, and my colleagues were always willing to...Dislikes:During my time at Teleperformance Global Services Private Limited...Loan Officer in MumbaiVoice / Blended5.0 • posted on 09 Apr 2025Likes:Supportive Team Environment: I found the team culture to be collaborative, and my colleagues were always willing to...Salary - Excellent+6 moreDislikes:During my time at Teleperformance Global Services Private Limited...Likes:The training part was goodDislikes:They are very unprofessional. They are very lazy. They don’t have...Calling Agent in NoidaCustomer Success1.0 • posted on 09 Apr 2025Likes:The training part was goodDislikes:They are very unprofessional. They are very lazy. They don’t have...Salary - Bad+6 moreCompare Teleperformance with Similar CompaniesTeleperformanceWNSChange CompanyiEnergizerChange CompanyConcentrix CorporationChange CompanyOverall Rating3.9/5based on 31k reviews3.4/5based on 12.5k reviews4.6/5based on 23.4k reviews3.7/5based on 27.4k reviewsHighly Rated forSkill developmentWork-life balanceJob securityNo highly rated categorySkill developmentWork-life balanceSalaryJob securityCritically Rated forNo critically rated categoryPromotionsSalarySkill developmentNo critically rated categoryPromotionsSalary"
12,Concentrix Corporation,27.4k,3.8,BPO,1.2L,1.7k,137,1983,42,concentrix.com
13,Axis Bank,26.5k,3.8,Banking,99.5k,1.5k,202,1993,32,axisbank.com 
14,Amazon,26.2k,4.1,Internet,1.3L,5.1k,2.2k,1994,31,amazon.jobs
15,Jio,24.3k,4.0,Telecom,62.2k,2k,116,2018,7,jio.com
16,iEnergizer,23.4k,4.6,BPO,22.8k,675,216,2000,25,ienergizer.com Company contact no.8588894888 E-mailinfo@iEnergizer.com 
17,Reliance Retail,23.2k,3.9,Retail,66.9k,1.6k,119,2006,19,relianceretail.com
18,IBM,23.2k,4.0,IT Services & Consulting,2L,2.4k,1k,1911,114,ibm.com
19,LTIMindtree,21.9k,3.8,IT Services & Consulting,1.8L,3k,414,1997,28,ltimindtree.com
20,HDB Financial Services,21.1k,3.9,NBFC,50k,841,177,2007,18,hdbfs.com
21,Larsen & Toubro Limited,19.4k,4.0,Engineering & Construction,69.6k,1.5k,152,1938,87,larsentoubro.com
22,Deloitte,18.5k,3.8,Management Consulting,1.9L,2.9k,127,1845,180,www2.deloitte.com
23,Kotak Mahindra Bank,17.7k,3.7,Banking,82.5k,1.1k,61,2003,22,kotak.com
24,Reliance Industries ,16.7k,4.0,Oil & Gas,68.6k,1.3k,28,1977,48,ril.com
25,BYJU'S,16.3k,3.1,EdTech,58.6k,2.1k,--,2011,14,byjus.com
26,Vodafone Idea,15.8k,4.0,Telecom,53.2k,567,24,2018,7,myvi.in
27,Bharti Airtel,14.2k,4.0,Telecom,46.7k,892,182,1952,73,airtel.in
28,WNS,12.5k,3.4,BPO,63.3k,1.1k,111,1996,29,wns.com
29,Tata Motors,12.3k,4.2,Automobile,41.1k,1k,14,1945,80,tatamotors.com
30,AU Small Finance Bank,12k,4.2,Banking,26.2k,544,74,1996,29,aubank.in
31,IndusInd Bank,11.5k,3.5,Banking,49.1k,641,2.9k,1994,31,indusind.com
32,Flipkart,11.1k,3.9,Internet,49.2k,1.4k,113,2007,18,flipkart.com
33,Ernst & Young,11.3k,3.4,Management Consulting,1.2L,1.2k,2.1k,2002,23,ey.com
34,IDFC FIRST Bank,10.8k,3.9,Banking,44.9k,683,44,2018,7,idfcfirstbank.com 
35,DXC Technology,10.4k,3.7,IT Services & Consulting,74.7k,808,203,2017,8,dxc.com
36,Infosys BPM ,10.2k,3.6,BPO,67.1k,974,73,2002,23,infosysbpm.com
37,Mahindra & Mahindra,10.1k,4.1,Automobile,37.3k,700,54,1945,80,mahindra.com
38,Bajaj Finserv,9.8k,4.0,Financial Services,27.4k,543,21,2007,18,bajajfinserv.in
39,PwC,9.6k,3.4,Management Consulting,93.3k,1.4k,2k,1880,145,pwc.com
40,HDFC Life,9.5k,4.0,Insurance,31.1k,635,135,2000,25,hdfclife.com
41,Conneqt Business Solutions,9.1k,3.6,BPO,27k,486,355,2002,23,conneqtcorp.com
42,Mphasis,8.7k,3.4,IT Services & Consulting,69k,820,159,1998,27,"mphasis.comPrimary IndustryIT Services & ConsultingOther IndustriesFinancial Services|Hardware & Networking|Insurance|Emerging TechnologiesReplay videoView in video summaryMphasis’ purpose is to be the “Driver in Driverless Car” for Global Enterprises by applying next-generation design, architecture and engineering services, to deliver scalable and sustainable software and technology solutions. Customer centricity is foundational to Mphasis and is reflected in the Mphasis’Front2BackTM Transformation approach. Front2BackTM uses the exponential power of cloud and cognitive to provide hyper-personalized (C=X2C2TM=1) digital experience to clients and their end customers. Mphasis’ Service Transformation approach helps ‘shrink the core’ through the application of digital technologies across legacy environments within an enterprise, enabling businesses to stay ahead in a changing world. Mphasis’ core reference architectures and tools, speed and innovation with domain expertise and specialization, combined with an integrated sustainability and purpose-led approach across its operations and solutions are key to building strong relationships with marquee clients.Mphasis RatingsView allbased on 8.7k reviewsOverall Rating3.4/5How AmbitionBox ratings work?52.7k42.5k31.7k271711.1kCategory Ratings3.5Work-life balance3.4Job security3.3Company culture3.3Skill development3.1Work satisfaction2.8Salary2.5PromotionsMphasis is rated 3.4 out of 5 stars on AmbitionBox, based on 8.7k company reviews.This rating reflects an average employee experience, indicating moderate satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at Mphasisbased on 8.3k reviews3.5Rated by 2.5k WomenRated 3.6 for Work-life balance and 3.5 for Job security 3.3Rated by 5.8k MenRated 3.5 for Work-life balance and 3.4 for Job security Work Policy at Mphasis based on 1.3k reviews in last 6 monthsHybrid54%Work from office38%Permanent work from home8%Mphasis ReviewsView allTop mentions in Mphasis ReviewsSalary (1.6k)Work Life Balance (967)Appraisal (953)Job Security (883)Senior Management (826)+ 5 moreLikes:Company is never been good or bad it's the people who works there makes the environment good or bad. Some managers...Dislikes:Salary is the biggest minus point if you show your loyalty and st...Project Management Lead in Bangalore / BengaluruOperations3.0 • posted on 16 Apr 2025Likes:Company is never been good or bad it's the people who works there makes the environment good or bad. Some managers...Dislikes:Salary is the biggest minus point if you show your loyalty and st...Salary - PoorLikes:The company has a good work life balance and culture. It also depends on the project which you work for. Work from...Dislikes:Compensation structure is very bad compared to other companies. P...Delivery Software Engineer in Bangalore / BengaluruSoftware Development3.0 • posted on 16 Apr 2025Likes:The company has a good work life balance and culture. It also depends on the project which you work for. Work from...Job security - Excellent+1 moreDislikes:Compensation structure is very bad compared to other companies. P...Salary - Poor+2 moreLikes:I got good colleagues who are friendly and always ready to help.Dislikes:They hired me saying it's hybrid module but since you are new you...Senior Analyst in PuneFinance3.0 • posted on 15 Apr 2025Likes:I got good colleagues who are friendly and always ready to help.Promotions - GoodDislikes:They hired me saying it's hybrid module but since you are new you...Skill development - Poor+2 moreLikes:Nothing much to like. They dont have relationship with clients. Just sending consultants to clients to fill the req...Dislikes:No job security. They dont help in getting projects. Bench meetin...Project Lead in Hyderabad / SecunderabadData Science & Machine Learning1.0 • posted on 07 Apr 2025Likes:Nothing much to like. They dont have relationship with clients. Just sending consultants to clients to fill the req...Dislikes:No job security. They dont help in getting projects. Bench meetin...Salary - Poor+6 moreLikes:Mphasis Pune is a great place to start your career as a fresher because there are ample of new opportunities to exp...Dislikes:What I dislike about this place is I am not working there anymore...Service Desk Associate in PuneCustomer Success5.0 • posted on 06 Apr 2025Likes:Mphasis Pune is a great place to start your career as a fresher because there are ample of new opportunities to exp...Salary - Excellent+6 moreDislikes:What I dislike about this place is I am not working there anymore...Likes:NaDislikes:Worst management and manager's ever seen in my career no proper k...Senior Associate in PuneInvestment Banking, Private Equity & VC1.0 • posted on 05 Apr 2025Likes:NaDislikes:Worst management and manager's ever seen in my career no proper k...Salary - Bad+6 moreLikes:Mphasis is good place for taking experience on the profileDislikes:Mphasis pvt Ltd is one the most undarated company which is very t...Senior Quality Analyst in PunePayroll & Transactions1.0 • posted on 29 Mar 2025Likes:Mphasis is good place for taking experience on the profileJob security - ExcellentDislikes:Mphasis pvt Ltd is one the most undarated company which is very t...Salary - Bad+5 moreLikes:Work load is balanced. Sufficient team to manage work.Dislikes:No salary hikes from last 5 years. No promotions. If any then dry...Data Engineer in Bangalore / BengaluruData Science & Machine Learning2.0 • posted on 23 Mar 2025Likes:Work load is balanced. Sufficient team to manage work.Work-life balance - GoodDislikes:No salary hikes from last 5 years. No promotions. If any then dry...Salary - Poor+4 moreLikes:Dislikes:Everything, absolutely no pay hikes and promotions, no bonus, no...Technical Support Engineer in PuneIT Support1.0 • posted on 20 Mar 2025Dislikes:Everything, absolutely no pay hikes and promotions, no bonus, no...Salary - Bad+6 moreLikes:It depends on the team we work with, if the team manager or lead is chill and doesn't bother much about micro manag...Dislikes:If the micro management is high, even with WFH you'll struggle an...Automation Test Engineer in Bangalore / BengaluruQuality Assurance and Testing3.0 • posted on 16 Mar 2025Likes:It depends on the team we work with, if the team manager or lead is chill and doesn't bother much about micro manag...Promotions - GoodDislikes:If the micro management is high, even with WFH you'll struggle an...Skill development - Poor+4 moreCompare Mphasis with Similar CompaniesMphasisLTIMindtreeChange CompanySutherland Global ServicesChange CompanyDXC TechnologyChange CompanyOverall Rating3.4/5based on 8.7k reviews3.7/5based on 21.9k reviews3.5/5based on 7.3k reviews3.7/5based on 10.4k reviewsHighly Rated forNo highly rated categoryWork-life balanceNo highly rated categoryWork-life balanceCritically Rated forPromotionsSalaryWork satisfactionPromotionsSalaryPromotionsSalarySkill developmentPromotionsSalary"
43,Bandhan Bank,8.1k,3.7,Banking,23.4k,571,2,2001,24,bandhanbank.com 
44,Yes Bank,8.1k,3.7,Banking,42.4k,452,348,2004,21,yesbank.in
45,Startek,7.9k,3.1,,23.7k,490,58,2017,8,startek.com
46,Paytm,7.7k,3.3,FinTech,32.3k,765,468,2010,15,paytm.com
47,Tata Steel,7.7k,4.1,Iron & Steel,30.5k,882,--,1907,118,tatasteel.com
48,Asian Paints,7.7k,4.0,Chemicals,23k,663,29,1942,83,asianpaints.com
49,Quess,7.7k,3.9,BPO,29k,433,71,2007,18,quesscorp.com
50,Maruti Suzuki,7.5k,4.2,Automobile,25.3k,611,779,1981,44,marutisuzuki.com
51,UltraTech Cement,7.5k,4.2,Building Material,22.6k,607,90,1983,42,ultratechcement.com
52,Samsung,7.4k,3.9,Consumer Electronics & Appliances,26.3k,559,6,1969,56,samsung.com
53,Sutherland Global Services,7.3k,3.5,IT Services & Consulting,30.8k,651,197,1986,39,sutherlandglobal.com 
54,Shriram Finance,7.4k,4.1,NBFC,13.7k,356,20,1979,46,shriramfinance.in
55,Ericsson,7.4k,4.1,Telecom,42.2k,419,154,1876,149,ericsson.com 
56,EXL Service,7.4k,3.7,Analytics & KPO,40.4k,760,79,1999,26,exlservice.com
57,Cipla,7.1k,4.1,Pharma,24.5k,499,87,1935,90,cipla.com
58,Muthoot Fincorp,7.1k,4.5,NBFC,8.4k,524,37,1887,138,muthootfincorp.com
59,HGS,7k,3.8,BPO,22.8k,247,22,2000,25,joinhgs.com
60,Dr. Reddy's,7k,4.0,Pharma,24.4k,411,18,1984,41,drreddys.com
61,Bajaj Finance,7k,4.0,NBFC,21.4k,321,83,1987,38,bajajfinserv.in
62,Wells Fargo,6.7k,3.8,Financial Services,51.1k,590,194,1852,173,wellsfargojobs.com E-mailprivacy.emea@wellsfargo.com 
63,Amazon Development Centre India,6.5k,4.1,Internet,33k,778,17,,,amazon.com
64,ICICI Prudential Life Insurance,6.4k,4.1,Insurance,21.4k,404,411,2000,25,iciciprulife.com
65,JPMorgan Chase & Co.,6.4k,3.9,Financial Services,73.6k,762,817,1968,57,jpmorganchase.com
66,Delhivery,6.3k,3.8,Logistics,19.5k,484,102,2011,14,delhivery.com
67,Hindustan Unilever ,6.3k,4.2,FMCG,21.4k,398,45,1872,153,hul.co.in
68,Jana Small Finance Bank,6.3k,3.8,Banking,14.8k,255,24,2006,19,"janabank.comPrimary IndustryBankingOther Industries--Are you managing Jana Small Finance Bank's employer brand? To edit company information,claim this page for freeReplay videoView in video summaryJana Small Finance Bank is a Scheduled Commercial Bank. Established in Bengaluru in 2008, it has been recognized globally as one of the most innovative financial institutions working on financial inclusion. As on September 30, 2019, the Bank’s distribution network was at 270 banking outlets (including 25 business correspondence outlets), 298 asset centres and 120 ATMs. Of the total banking outlets, 43% are in semi-urban and rural areas. Number of employees were at 14,452 as of Sep 30, 2019.Mission: To be the trusted and inclusive bank with consistently high standard performance, compliance and work culture. Vision: To be the leading digitized bank of an aspirational India serving all customers and communities.Managing your company's employer brand?Claim this Company Page for FREEClaim NowJana Small Finance Bank RatingsView allbased on 6.3k reviewsOverall Rating3.8/5How AmbitionBox ratings work?52.8k41.5k382823731787Category Ratings3.7Salary3.6Job security3.6Skill development3.5Company culture3.5Work-life balance3.5Work satisfaction3.4PromotionsJana Small Finance Bank is rated 3.8 out of 5 stars on AmbitionBox, based on 6.3k company reviews.This rating reflects an average employee experience, indicating moderate satisfaction with the company’s work culture, benefits, and career growth opportunities. AmbitionBox gathers authentic employee reviews and ratings, making it a trusted platform for job seekers and employees in India.Read moreGender Based Ratings at Jana Small Finance Bankbased on 5.8k reviews3.6Rated by 756 WomenRated 3.6 for Skill development and 3.5 for Salary 3.8Rated by 5.1k MenRated 3.7 for Salary and 3.6 for Work-life balance Work Policy at Jana Small Finance Bank based on 664 reviews in last 6 monthsWork from office83%Hybrid9%Permanent work from home8%Jana Small Finance Bank ReviewsView allTop mentions in Jana Small Finance Bank ReviewsSalary (520)Work Culture (471)Senior Management (424)Work Environment (342)Work Life Balance (325)+ 5 moreLikes:Regional head and cluster manager good approach but RH doing postive motivation every con call while direct visitin...Dislikes:They are telling all holiday's should be working that's it.Relationship Manager in ChennaiSales Support & Operations5.0 • posted on 12 Apr 2025Likes:Regional head and cluster manager good approach but RH doing postive motivation every con call while direct visitin...Salary - Excellent+6 moreDislikes:They are telling all holiday's should be working that's it.Likes:Less products and Managable targets if team is good.Dislikes:Too much politics, Non performing staffs, Multiple concalls start...Associate Vice President in Bangalore / BengaluruRetail & B2C Sales3.0 • posted on 11 Apr 2025Likes:Less products and Managable targets if team is good.Dislikes:Too much politics, Non performing staffs, Multiple concalls start...Skill development - Bad+3 moreLikes:FlexibilityDislikes:Managers skill development & politics. For him I have to quit my...Relationship Manager in DurgapurFinance3.0 • posted on 10 Apr 2025Likes:FlexibilitySalary - GoodDislikes:Managers skill development & politics. For him I have to quit my...Skill development - Poor+3 moreLikes:Liability sales and operations home loan department.Dislikes:Timings no lives month and is working and culture lives. Not prod...Manager in Bangalore / BengaluruCustomer Success, Service & Operations - Other5.0 • posted on 08 Apr 2025Likes:Liability sales and operations home loan department.Dislikes:Timings no lives month and is working and culture lives. Not prod...Salary - Poor+3 moreLikes:Immediate joining, freedom to take ownership,  good environment of learning.Dislikes:Not having proper work culture,  management is very discriminatin...Executive in PatnaSales Support & Operations3.0 • posted on 25 Mar 2025Likes:Immediate joining, freedom to take ownership,  good environment of learning.Dislikes:Not having proper work culture,  management is very discriminatin...Likes:It has a very good culture where good ideas are nurtured, regardless of the origin of the ideas.Dislikes:As with any Bank, work life balance takes a hit.Senior Manager Information Technology in Bangalore / BengaluruTechnology / IT5.0 • posted on 25 Mar 2025Likes:It has a very good culture where good ideas are nurtured, regardless of the origin of the ideas.Skill development - Excellent+4 moreDislikes:As with any Bank, work life balance takes a hit.Work-life balance - PoorLikes:Dislikes:I am presently working here.  Lot of products not doing here. The...Relationship Manager in CoimbatoreRetail & B2C Sales1.0 • posted on 25 Mar 2025Dislikes:I am presently working here.  Lot of products not doing here. The...Salary - Poor+6 moreLikes:Salary and incentive credited ontime compared to market salary is good, job security is goodDislikes:Few senior management employees behave very selfishRegional Collection Manager in ChennaiFinance4.0 • posted on 21 Mar 2025Likes:Salary and incentive credited ontime compared to market salary is good, job security is goodSalary - Good+1 moreDislikes:Few senior management employees behave very selfishLikes:Jana Small Finance Bank is best place for improvement banking knowledge and work growth. Jana Small Finance Bank is...Dislikes:NothingSenior Executive in New DelhiOperations5.0 • posted on 20 Mar 2025Likes:Jana Small Finance Bank is best place for improvement banking knowledge and work growth. Jana Small Finance Bank is...Salary - Excellent+6 moreDislikes:NothingLikes:Supportive CollegesDislikes:Behavior of senior management, less availability of resources in...Customer Relationship Executive in BhujOther1.0 • posted on 07 Mar 2025Likes:Supportive CollegesDislikes:Behavior of senior management, less availability of resources in...Salary - Bad+6 moreCompare Jana Small Finance Bank with Similar CompaniesJana Small Finance BankICICI BankChange CompanyHDFC BankChange CompanyAxis BankChange CompanyOverall Rating3.8/5based on 6.3k reviews4.0/5based on 39.5k reviews3.9/5based on 41.3k reviews3.7/5based on 26.5k reviewsHighly Rated forNo highly rated categoryJob securitySkill developmentCompany cultureJob securitySkill developmentNo highly rated categoryCritically Rated forNo critically rated categoryNo critically rated categoryPromotionsPromotions"
69,Optum Global Solutions,6.3k,4.0,IT Services & Consulting,40.5k,635,91,2002,23,optum.in
70,Lupin,6.2k,4.1,Pharma,22.4k,357,106,1968,57,lupin.com
71,Hexaware Technologies,6.2k,3.5,IT Services & Consulting,48.3k,727,169,1990,35,hexaware.com Company contact no.2267919595 E-mailmarketing@hexaware.com 
72,L&T Construction,6.2k,4.0,Engineering & Construction,18.7k,771,--,1944,81,lntecc.com
73,Zydus Lifesciences,6.2k,4.1,Pharma,18.9k,327,26,1952,73,zyduslife.com
74,Equitas Small Finance Bank,6.1k,4.5,Banking,12.2k,445,1.1k,2007,18,equitasbank.com Company contact no.18001031222 
75,JSW Steel,6.1k,3.9,Iron & Steel,27.2k,612,113,1982,43,jsw.in
76,Sun Pharmaceutical Industries,6k,4.0,Pharma,21.9k,414,194,1983,42,sunpharma.com Company contact no.2243244324 E-mailjanet.metz@sunpharma.com 
77,ITC,5.8k,3.9,FMCG,22.7k,571,79,1910,115,itcportal.com
78,KPMG India,5.8k,3.5,Management Consulting,54.2k,812,1.2k,1987,38,kpmg.com
79,FIS,5.7k,3.9,IT Services & Consulting,38k,494,249,1968,57,fisglobal.com 
80,HCL Group,5.7k,3.6,IT Services & Consulting,48.7k,464,4,1976,49,hcl.com
81,Axis Max Life Insurance,5.6k,4.1,Insurance,18.3k,320,210,2000,25,maxlifeinsurance.com
82,Ujjivan Small Finance Bank,5.5k,4.1,Banking,12.4k,242,29,2017,8,ujjivansfb.in
83,Ekart Logistics,5.6k,3.9,,14.2k,319,1,2009,16,ekartlogistics.com
84,Tata Projects,5.5k,4.2,Engineering & Construction,20.3k,461,27,1979,46,tataprojects.com Company contact no.2267402900 E-mailtpl@tataprojects.com 
85,Oracle,5.4k,3.7,Software Product,57.3k,871,1.2k,1977,48,oracle.com
86,Indian Army,5.4k,4.7,Defence & Aerospace,9.4k,156,--,1895,130,indianarmy.nic.in
87,IIFL Finance,5.4k,4.0,NBFC,14.5k,262,50,1995,30,iifl.com
88,Megha Engineering & Infrastructures,5.3k,3.9,Engineering & Construction,16.7k,457,23,1989,36,meil.in
89,Muthoot Finance,5.2k,3.6,NBFC,12.2k,271,145,1939,86,muthootfinance.com
90,eClerx,5.2k,3.3,IT Services & Consulting,29.1k,542,53,2000,25,eclerx.com
91,Udaan,5.1k,4.0,Internet,17k,338,6,2016,9,udaan.com
92,Omega Healthcare,5.2k,3.7,BPO,23.3k,460,170,2003,22,omegahms.com
93,Bajaj Allianz Life Insurance,5.1k,3.9,Insurance,16k,344,146,2001,24,bajajallianzlife.com
94,JLL,5.1k,4.1,Real Estate,21.6k,376,333,1999,26,jll.co.in
95,L&T Technology Services,5.1k,3.3,IT Services & Consulting,38.8k,548,525,2012,13,Ltts.com
96,Virtusa Consulting Services,5k,3.8,IT Services & Consulting,53.1k,597,28,1996,29,virtusa.com
97,Coforge,5.1k,3.3,IT Services & Consulting,42k,545,323,1996,29,indiamart.com
